source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Faz.net'}",Klaus Max Smolka,Großübernahme: Milliardendeal um Aareon,"Die Aareal Bank und der Finanzinvestor Advent verkaufen den Anbieter von Immobiliensoftware Aareon. Die IT-Gesellschaft wird mit 3,9 Milliarden Euro bewertet. Besonders interessant ist ein sonst selten genanntes Detail: die Höhe der Transaktionskosten.",https://www.faz.net/aktuell/finanzen/grossuebernahm-milliardendeal-um-aareon-19810745.html,https://media1.faz.net/ppmedia/aktuell/2190707974/1.9554893/facebook_teaser/die-zentrale-der-aareal-bank.jpg,2024-06-24T15:18:25Z,"Aareon wird den Angaben zufolge in der Transaktion mit 3,9 Milliarden Euro bewertet, was diese zu einer der größten in Deutschland im bisherigen Jahresverlauf macht. Das Geschäft mit Fusionen und Übe… [+1300 chars]"
"{'id': None, 'name': 'DIE WELT'}",Cornelius Welp,Deutsche Unternehmen im Visier – vier Branchen reizen die Araber besonders,Investoren aus dem Nahen Osten greifen nach dem Chemiekonzern Covestro und der Bahn-Tochter Schenker. Das Selbstbewusstsein arabischer Bieter ist gewachsen. Auf die möglichen Deals dürften schon bald weitere folgen. Vielen hiesigen Unternehmen kommt das sogar…,https://www.welt.de/wirtschaft/article252266032/Deutsche-Unternehmen-im-Visier-4-Branchen-reizen-arabische-Investoren-besonders.html,https://img.welt.de/img/wirtschaft/mobile252301802/4781352467-ci16x9-w1200/COP28-president-Sultan-Ahmed-Al-Jaber-sp.jpg,2024-07-02T10:14:49Z,Das Leben von Klaus Fröhlich ist so etwas wie ein Musterbeispiel für die verschlungenen Wege wahrhaft globaler Karrieren. Der in Mexiko geborene deutsche Manager hat in London studiert und anschließe… [+6842 chars]
"{'id': None, 'name': 'DW (English)'}",Nik Martin,KI: Wie riskant ist die Dominanz von Microsoft und Nvidia?,Die beiden Tech-Giganten beherrschen das Rennen um Künstliche Intelligenz. US-Kartellbehörden nehmen sie jetzt unter die Lupe. Helfen strengere Regeln dem Wettbewerb oder schaden sie der gesamten Branche? Microsoft und Nvidia haben bei Künstlicher Intelligenz…,https://www.dw.com/de/ki-wie-riskant-ist-die-dominanz-von-microsoft-und-nvidia/a-69399792,https://static.dw.com/image/69386346_6.jpg,2024-06-18T14:21:00Z,"Microsoft und Nvidia haben bei Künstlicher Intelligenz (KI) eine Spitzenposition. Die beiden Firmen sind an der Börse zusammen 6,6 Billionen US-Dollar (6,16 Billionen Euro) wert bilden mit Apple die … [+6649 chars]"
"{'id': None, 'name': 'Faz.net'}",Klaus Max Smolka,M&A-Markt: Konzerne bestimmen das Geschäft mit Fusionen und Übernahmen,Das Übernahmevolumen auf der Welt steigt dieses Jahr bisher – obwohl der Hilfsmotor Private Equity stockt. Deutschland fällt aus dem Rahmen.,https://www.faz.net/aktuell/finanzen/finanzmarkt/m-a-markt-konzerne-bestimmen-das-geschaeft-19781520.html,https://media1.faz.net/ppmedia/aktuell/wirtschaft/1887160215/1.9781517/facebook_teaser/uebernahmeziele-sind-gemeinhin.jpg,2024-06-11T15:02:15Z,"Dies zeigt eine Erhebung, welche der Datendienstleister Dealogic für die F.A.Z. erstellt hat. Fachleute sehen momentan die treibende Kraft im Geschäft mit Fusionen und Übernahmen (Mergers &amp; Acqui… [+7168 chars]"
"{'id': None, 'name': 'Süddeutsche Zeitung'}",Von Elisabeth Dostert,Automation: Deutsche Firmen unter Druck,"Anbieter aus China drängen mit Robotern nach Europa – auch, weil für sie in den USA kaum mehr Abnehmer finden. Und die Unternehmen hier klagen: Mit der Geschwindigkeit könnten sie nicht mithalten.",https://www.sueddeutsche.de/wirtschaft/maschinenbau-vdma-robotik-und-automation-lux.Pow7k3ehWt9M8ZFjkdmyct,https://www.sueddeutsche.de/2024/06/17/409305e1-c6f6-4e08-ba67-dc5c36e8eb0e.jpeg?q=60&fm=webp&width=1200&rect=0%2C833%2C2920%2C1643,2024-06-17T09:01:14Z,"Wir haben alles, um Fabriken für Batterien oder Brennstoffzellen auszustatten, sagt Konrad. Er ist auch Chef der Firma Hahn Automation aus Rheinböllen mit mehr als 1800 Mitarbeitern und etwa 300 Mill… [+3993 chars]"
"{'id': None, 'name': 'N-tv.de'}",n-tv NACHRICHTEN,"Volkswirtin zum US-TV-Duell: Die Finanzmärkte werden sich Trumps Sieg ""schönsaufen""","Die US-Demokraten sind in Panik nach Bidens katastrophaler Performance beim TV-Duell. Während eine Rückkehr Trumps ins Weiße Haus insbesondere für Europa problematisch wäre, erscheint dessen Agenda für die Finanzmärkte positiv, sagt Volkswirtin Sandra Ebner -…",https://www.n-tv.de/wirtschaft/Die-Finanzmaerkte-werden-sich-Trumps-Sieg-schoensaufen-article25050081.html,https://bilder3.n-tv.de/img/incoming/crop25050082/7971323902-cImg_16_9-w1200/470109052.jpg,2024-06-28T12:06:38Z,Die US-Demokraten sind in Panik nach Joe Bidens katastrophaler Performance beim TV-Duell. Während eine Rückkehr Donald Trumps ins Weiße Haus insbesondere für Deutschlands Unternehmen problematisch wä… [+3426 chars]
"{'id': 'focus', 'name': 'Focus'}",Deutsche Welle Wirtschaft,- KI: Wie riskant ist die Dominanz von Microsoft und Nvidia?,Die beiden Tech-Giganten beherrschen das Rennen um Künstliche Intelligenz. US-Kartellbehörden nehmen sie jetzt unter die Lupe. Helfen strengere Regeln dem Wettbewerb oder schaden sie der gesamten Branche?,https://www.focus.de/finanzen/news/ki-wie-riskant-ist-die-dominanz-von-microsoft-und-nvidia_id_260061194.html,https://p6.focus.de/img/finanzen/news/id_260061193/us-wettbewerbshueter-wollen-bei-nvidia-und-microsoft-nun-genauer-hinschauen.jpg?im=Crop%3D%280%2C29%2C940%2C470%29%3BResize%3D%281200%2C627%29&impolicy=perceptual&quality=mediumHigh&hash=2d7ec9263e4d817c898955a690a845007267f4ff5333d140c372f4baaa16ca90,2024-06-18T14:40:05Z,"Microsoft und Nvidia haben bei Künstlicher Intelligenz (KI) eine Spitzenposition. Die beiden Firmen sind an der Börse zusammen 6,6 Billionen US-Dollar (6,16 Billionen Euro) wert bilden mit Apple die … [+6149 chars]"
"{'id': None, 'name': 'Orf.at'}",ORF.at,Hilfspaket für finanzmarode Gemeinden,"Die Gemeinden klagen seit Langem, dass ihre Pflichten mittlerweile ihre Mittel übersteigen. Manche erwägen aus Kostengründen gar eine Fusion mit anderen Orten. Zum Abschluss der Nationalratssaison steht ein Hilfspaket im Umfang von 920 Millionen Euro an.",https://orf.at/stories/3362463/,https://ibs.orf.at/news?image=https%3A%2F%2Fassets.orf.at%2Fmims%2F2024%2F27%2F19%2Fcrops%2Fw%3D1200%2Ch%3D630%2Cq%3D75%2F2266231_master_861719_nationalrat_gemeinden_hilfspaket_2_coe.jpg%3Fs%3D0b2d6303f3c1679f68c6fe531f0bcd240b71866a,2024-07-03T15:50:51Z,Es gibt zahlreiche finanziell leistungsfähige Gemeinden. Das zeigte am Mittwoch etwa eine Auswertung des Zentrums für Verwaltungsforschung (KDZ). Laut KDZ führt Elixhausen in Salzburg das Ranking der… [+5902 chars]
"{'id': None, 'name': 'Www.nzz.ch'}",Gerald Hosp (gho),Die Welt wird in Öl schwimmen. Das ist ein Problem für Petro-Staaten wie Saudiarabien und Russland.,Die Internationale Energieagentur sagt den Anfang des Endes des Erdölzeitalters voraus. Gleichzeitig soll die Welt im Öl schwimmen. Das ist ein Problem für die Länder von Opec+.,https://www.nzz.ch/wirtschaft/die-petro-staaten-verlieren-an-bedeutung-am-erdoelmarkt-nicht-nur-weil-die-nachfrage-zurueckgeht-ld.1834737,"https://img.nzz.ch/2024/06/12/bd4325fe-4d1f-4828-866d-6be806573621.jpeg?width=1200&height=674&fit=bounds&quality=75&auto=webp&crop=5935,3338,x0,y309&wmark=nzz",2024-06-13T03:30:00Z,"Der saudische Energieminister Abdelaziz bin Salman und Russlands Vizeministerpräsident Alexander Nowak sprechen sich an einem Wirtschaftsforum in St. Petersburg gegenseitig Mut zu.
Der saudische Ene… [+6783 chars]"
"{'id': None, 'name': 'Diepresse.com'}",Die Presse,"OMV-Chef Alfred Stern: „Gasproduktion in Europa ist das Beste, was wir tun können“","Europa wird noch lange Erdgas brauchen – am besten aus eigener Erzeugung, sagt OMV-Chef Alfred Stern. Er erklärt, warum das den grünen Umbau des Konzerns beflügeln statt bremsen wird, spricht über politische Zwischenrufe und den Irrglauben, dass die Nachfrage…",https://www.diepresse.com/18565750/omv-chef-alfred-stern-gasproduktion-in-europa-ist-das-beste-was-wir-tun-koennen,https://img.diepresse.com/public/incoming/hfbki1-OMV-CEO-Alfred-Stern-speaks-at-an-interview/alternates/DPR_SOCIAL_MAGAZIN/OMV%20CEO%20Alfred%20Stern%20speaks%20at%20an%20interview,2024-06-14T08:49:50Z,"Europa wird noch lange Erdgas brauchen am besten aus eigener Erzeugung, sagt OMV-Chef Alfred Stern. Er erklärt, warum das den grünen Umbau des Konzerns beflügeln statt bremsen wird, spricht über poli… [+7713 chars]"
"{'id': None, 'name': 'Faz.net'}",Jessica Ramczik,Wie antisemitisch war die Fusion?,Das Fusion-Festival ist vorbei – das Ringen der Festival- und Clubszene um die Deutungshoheit im Nahostkonflikt geht weiter. Eine Bestandsaufnahme.,https://www.faz.net/aktuell/feuilleton/debatten/wie-antisemitisch-war-die-fusion-19835213.html,https://media1.faz.net/ppmedia/aktuell/3870130053/1.9835211/facebook_teaser_fplus/solidaritaetsaktion-fuer-die.jpg,2024-07-06T08:39:50Z,"Es ist Ende Juni, und mitten im ländlichen Mecklenburg-Vorpommern, auf einem alten sowjetischen Militärflugplatz in Lärz, findet zum 24. Mal das Fusion-Festival statt. Was 1997 als kleines Treffen vo… [+860 chars]"
"{'id': 'die-zeit', 'name': 'Die Zeit'}",ZEIT ONLINE: News -,Festivals: Nach regenreicher Nacht: Letzter Tag des Fusion-Festivals,Hier finden Sie Informationen zu dem Thema „Festivals“. Lesen Sie jetzt „Nach regenreicher Nacht: Letzter Tag des Fusion-Festivals“.,https://www.zeit.de/news/2024-06/30/nach-regenreicher-nacht-letzter-tag-des-fusion-festivals,https://img.zeit.de/news/2024-06/30/nach-regenreicher-nacht-letzter-tag-des-fusion-festivals-image-group/wide__1300x731,2024-06-30T12:45:18Z,"Mit DJ Matthias Tanzmann, dem Hamburger Duo Extrawelt und Techno-DJ Josh Wink ist das Fusion-Festival in Mecklenburg-Vorpommern am Sonntag in seinen fünften und letzten Tag gestartet. Die Unwetter in… [+2855 chars]"
"{'id': None, 'name': 'tagesschau.de'}",Ingo Nathusius,Durch Fusion entsteht die größte Volksbank Deutschlands,"In Frankfurt am Main entsteht die größte deutsche Volksbank, deren Geschäftsgebiet sich über hundert Kilometer erstreckt: von Weilburg in Mittelhessen bis Weibersbrunn im bayerischen Spessart. Von Ingo Nathusius.",https://www.tagesschau.de/wirtschaft/finanzen/volksbanken-fusion-100.html,https://images.tagesschau.de/image/fec786f8-32cf-4704-a0d7-8d6b1df3f869/AAABkFho5d0/AAABjwnlFvA/16x9-1280/volksbank-118.jpg,2024-06-27T12:56:24Z,"Stand: 27.06.2024 14:56 Uhr
In Frankfurt am Main entsteht die größte deutsche Volksbank, deren Geschäftsgebiet sich über hundert Kilometer erstreckt: von Weilburg in Mittelhessen bis Weibersbrunn im… [+3711 chars]"
"{'id': None, 'name': 'Golem.de'}",Werner Pluta,"(g+) Gauss Fusion: ""Das erste Fusionskraftwerk wird in den 2040ern kommen""","Magnet oder Laser, Stellarator oder Tokamak? Bei Gauss Fusion aus München arbeitet man hart an der Kernfusion - und hofft, dass das erste Kraftwerk bald in Europa stehen wird. Ein Interview von Werner Pluta (Forschung in D, Interview)",https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https%3A%2F%2Fwww.golem.de%2Fnews%2Fgauss-fusion-das-erste-fusionskraftwerk-wird-in-den-2040ern-kommen-2406-185350.html&referer=https%3A%2F%2Ft.co%2F5c5a8d2e74,,2024-06-09T08:00:01Z,"Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]"
